ID,TRICHYEU,NGAYKY,CV_KHAN,ID_LOAICV
629040,"TB kết luận họp Hội đồng thẩm định hồ sơ điều chỉnh quy hoạch tổng thể phát triển kinh tế - xã hội huyện Nhơn Trạch đến năm 2020, tầm nhình đến 2025.",2017-01-16T00:00:00,Thường,18
629041,V/v hủy bỏ Quyết định số 4519/QĐ-UBND ngày 30/11/2005 của Chủ tịch UBND tỉnh Đồng Nai.,2017-01-17T00:00:00,Thường,16
629042,"V/v Thay đổi địa điểm làm việc của HĐND, UBND huyện Long Thành",2017-01-13T00:00:00,Thường,18
629043,Đơn tố cáo v/v GĐ VPĐK CN Long Thành và UBND Xã Phước Vĩnh xác nhận giấy tờ giả mạo cho ông Huỳnh Thiết Hoàng///,2017-01-19T00:00:00,Thường,29
629044,Đơn tố cáo ông Đoàn Văn Nhuần -Trưởng phòng kinh tế h Trảng Bom.,2017-01-19T00:00:00,Thường,29
629045,Báo cáo tình hình hoạt động đo đạc bản đồ,2017-01-19T00:00:00,Thường,5
629046,Báo cáo tổng kết công tác quản lý TNMT...,2017-01-19T00:00:00,Thường,5
629047,Đề nghị hủy GCNQSDD CŨ và làm thủ tục cấp mới GCNQSDD cho người mua tài sản trng1 đấu giá,2017-01-19T00:00:00,Thường,8
629048,Triển khai Đo đạc bản đồ hiện trạng và trích đất quốc phòng..,2017-01-19T00:00:00,Thường,8
629049,Xử lý kết quả thẩm tra hs cấp GCNQSDD của bà Nguyễn Thị Đào,2017-01-19T00:00:00,Thường,8
629050,Xin điều chỉnh tên công ty ghi tại hx xin thuê 638.352m2..,2017-01-19T00:00:00,Thường,8
629051,Báo cáo kết quả tiêu hủy,2017-01-19T00:00:00,Thường,8
629052,Triển khai thực hiện Thông tư 259/2016/Chuyển Thanh tra sở theo dõi-BTC,2017-01-19T00:00:00,Thường,8
629053,Xử lý đơn đề nghị miễn tiền SDD của bà Lại Thị Doàn,2017-01-19T00:00:00,Thường,8
629054,Đề xuất xử lý mức chi đối với việc thực hiện cưỡng chế thu hồi đất,2017-01-19T00:00:00,Thường,8
629055,Có ý kiến về thỏa thuận địa điểm đầu tư hạ tầng kỹ thuật dự án làng văn hóa đồng báo dân tộc Cho Ro,2017-01-19T00:00:00,Thường,8
629241,"Quyết định kiện toàn hội đồng thẩm định kết quả xác định tiền sử dụng dữ liệu, thông tin và kết quả điều tra, thăm dò khoáng sản.",2017-01-17T00:00:00,Thường,16
629242,Quyết định phê duyệt kế hoạch thanh tra 2017,2017-01-17T00:00:00,Thường,16
629243,Quyết định ban hành quy chế lv của BTNMT,2017-01-17T00:00:00,Thường,16
629244,Quyết định v/v phê duyệt KH SDD 2017,2017-01-17T00:00:00,Thường,16
629245,"Xử phạt VPHC về bảo vệ môi trường công ty TNHH Hoàng Việt Nhất của bà Nguyễn Thị Luật, phường Hố Nai",2016-12-23T00:00:00,Thường,16
629246,"V/v lấy ý kiến dự án TTĐĐ đầu tư sản xuất kinh doanh tại xã Long Tân, huyện Nhơn Trạch, tỉnh Đồng Nai",2017-01-12T00:00:00,Thường,8
